"outer_iter","noise_sigma","method","reject_rate","source_dir"
7,0.2,"layer1_gaussian5",0.096,"faster_mnist_cnn_layer1_gaussian5_power"
7,0.4,"layer1_gaussian5",0.088,"faster_mnist_cnn_layer1_gaussian5_power"
7,0.6,"layer1_gaussian5",0.088,"faster_mnist_cnn_layer1_gaussian5_power"
7,0.8,"layer1_gaussian5",0.052,"faster_mnist_cnn_layer1_gaussian5_power"
7,1,"layer1_gaussian5",0.058,"faster_mnist_cnn_layer1_gaussian5_power"
8,0,"layer1_gaussian5",0.116,"faster_mnist_cnn_layer1_gaussian5_power"
8,0.2,"layer1_gaussian5",0.116,"faster_mnist_cnn_layer1_gaussian5_power"
8,0.4,"layer1_gaussian5",0.088,"faster_mnist_cnn_layer1_gaussian5_power"
8,0.6,"layer1_gaussian5",0.082,"faster_mnist_cnn_layer1_gaussian5_power"
8,0.8,"layer1_gaussian5",0.07,"faster_mnist_cnn_layer1_gaussian5_power"
8,1,"layer1_gaussian5",0.092,"faster_mnist_cnn_layer1_gaussian5_power"
9,0,"layer1_gaussian5",0.166,"faster_mnist_cnn_layer1_gaussian5_power"
9,0.2,"layer1_gaussian5",0.122,"faster_mnist_cnn_layer1_gaussian5_power"
9,0.4,"layer1_gaussian5",0.086,"faster_mnist_cnn_layer1_gaussian5_power"
9,0.6,"layer1_gaussian5",0.072,"faster_mnist_cnn_layer1_gaussian5_power"
9,0.8,"layer1_gaussian5",0.072,"faster_mnist_cnn_layer1_gaussian5_power"
9,1,"layer1_gaussian5",0.064,"faster_mnist_cnn_layer1_gaussian5_power"
10,0,"layer1_gaussian5",0.14,"faster_mnist_cnn_layer1_gaussian5_power"
10,0.2,"layer1_gaussian5",0.082,"faster_mnist_cnn_layer1_gaussian5_power"
10,0.4,"layer1_gaussian5",0.062,"faster_mnist_cnn_layer1_gaussian5_power"
10,0.6,"layer1_gaussian5",0.064,"faster_mnist_cnn_layer1_gaussian5_power"
10,0.8,"layer1_gaussian5",0.08,"faster_mnist_cnn_layer1_gaussian5_power"
10,1,"layer1_gaussian5",0.046,"faster_mnist_cnn_layer1_gaussian5_power"
1,0,"layer1_pool2x2_gaussian5",0.24,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,0.2,"layer1_pool2x2_gaussian5",0.184,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,0.4,"layer1_pool2x2_gaussian5",0.174,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,0.6,"layer1_pool2x2_gaussian5",0.12,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,0.8,"layer1_pool2x2_gaussian5",0.078,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
1,1,"layer1_pool2x2_gaussian5",0.08,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
2,0,"layer1_pool2x2_gaussian5",0.208,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
2,0.2,"layer1_pool2x2_gaussian5",0.168,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
2,0.4,"layer1_pool2x2_gaussian5",0.156,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
2,0.6,"layer1_pool2x2_gaussian5",0.108,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
2,0.8,"layer1_pool2x2_gaussian5",0.086,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
2,1,"layer1_pool2x2_gaussian5",0.07,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
3,0,"layer1_pool2x2_gaussian5",0.228,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
3,0.2,"layer1_pool2x2_gaussian5",0.184,"faster_mnist_cnn_layer1_pool2x2_gaussian5_power"
