"n","method","power","q_mean","t_kern","t_cov","t_sel","t_boot","t_stat","t_total","rep"
200,"GEXP_rich_13",0.6,13,0.0371534216403961,0.914808101654053,0,0.596663801670074,0.649766771793366,2.19839209675789,3
200,"NEW_13",0.485,4.62,0.0245204162597656,0.0740279340744018,0.00553805708885193,0.325026227235794,0.232755150794983,0.661867785453796,3
200,"NEW_25",0.44,4.005,0.0215883708000183,0.128619219064713,0.00492137551307678,0.327168064117432,0.214077382087708,0.696374411582947,3
300,"GEXP_5",0.765,5,0.0849600684642792,0.455378638505936,0,0.703972799777985,0.46466984629631,1.70898135304451,3
300,"GEXP_rich_13",0.74,13,0.090787912607193,2.26778963327408,0,1.22110502719879,1.06943089962006,4.64911347270012,3
300,"NEW_13",0.73,4.69,0.0665867793560028,0.164826518297195,0.00513008594512939,0.603567031621933,0.377959012985229,1.21806942820549,3
300,"NEW_25",0.695,4.005,0.0577827346324921,0.281938906908035,0.00473036646842957,0.551692913770676,0.319227466583252,1.21537238836288,3
400,"GEXP_5",0.865,5,0.163364696502686,0.777248656749725,0,1.12134741187096,0.736594154834747,2.79855491995811,3
400,"GEXP_rich_13",0.825,13,0.121112920045853,3.04750018715858,0,1.40350451588631,1.23877674102783,5.81089436411858,3
400,"NEW_13",0.825,4.705,0.133100156784058,0.303307728767395,0.00574176907539368,0.944040967226028,0.624909707307816,2.01110032916069,3
400,"NEW_25",0.775,4,0.126271597146988,0.537835749387741,0.00591944456100464,0.874861583709717,0.496979163885117,2.04186753869057,3
500,"GEXP_5",0.94,5,0.308514004945755,1.39986388206482,0,1.67913390040398,1.06690810203552,4.45441988945007,3
500,"GEXP_rich_13",0.925,13,0.3473814702034,7.44823704838753,0,3.44835328817368,3.04775856256485,14.2917303693295,3
500,"NEW_13",0.905,4.655,0.233050007820129,0.498673287630081,0.00548130869865418,1.38795157670975,0.864084111452103,2.98924029231071,3
500,"NEW_25",0.93,4,0.217598779201508,0.84547619342804,0.00499887108802795,1.26436028122902,0.687107194662094,3.01954131960869,3
600,"GEXP_5",0.96,5,0.505994712114334,1.9954501914978,0,2.46664195418358,1.73759878158569,6.70568563938141,3
600,"GEXP_rich_13",0.985,13,0.259776153564453,6.73957692623138,0,2.9361653637886,2.55862013816833,12.4941385817528,3
600,"NEW_13",0.945,4.625,0.376118109226227,0.762694110870361,0.0061375892162323,2.01983459353447,1.26558252930641,4.4303669321537,3
600,"NEW_25",0.955,4,0.324188988208771,1.24196055650711,0.00607439160346985,1.69638209581375,0.957239785194397,4.2258458173275,3
700,"GEXP_5",0.975,5,0.800755019187927,2.85412257790565,0,3.4507716023922,2.5022016119957,9.60785081148148,3
700,"GEXP_rich_13",0.965,13,0.748506388664246,18.3447549033165,0,6.53630253195763,5.31441578745842,30.9439796113968,3
700,"NEW_13",0.995,4.62,0.537799133062363,1.05280198693275,0.00619541645050049,2.67053185224533,1.64982267141342,5.91715106010437,3
700,"NEW_25",0.975,4,0.516153569221497,1.9352660381794,0.0032634961605072,2.54630773067474,1.46964876890182,6.47063960313797,3
50,"GEXP_5",0.295,5,0.00469000339508057,0.0508197546005249,0,0.0595504891872406,0.106035964488983,0.221096211671829,4
