result_kind,experiment,scenario,setting,label,label_name,n,representation,projection_id,summary_scope,projection_repeats,outer_repetitions,inner_repetitions,tests_per_projection,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r18,per_projection,1,10,20,200,200,0.89,0.89,,0.022124646889837583,0.8466356920959184,0.9333643079040816,40.875222542851326,13.677388412159903,25294.07522325457,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r19,per_projection,1,10,20,200,200,0.55,0.55,,0.03517811819867572,0.4810508883305956,0.6189491116694045,19.511140631412285,14.650083357739282,17110.17092993753,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,final_full,none,single,1,10,20,200,200,0.81,0.81,,0.02773986301336039,0.7556298684938136,0.8643701315061865,30.263326122857347,13.663499596796733,25630.231394847873,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,centered_logits,none,single,1,10,20,200,200,0.215,0.215,,0.029049526674285075,0.15806292771840125,0.27193707228159875,11.685615181965478,12.879682815334299,38996.501923933625,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,semantic_centered,none,single,1,10,20,200,200,0.19,0.19,,0.027739863013360393,0.13562986849381364,0.24437013150618636,9.501139858267535,13.023848870843649,37186.4052173287,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_full,none,single,1,10,20,200,200,0.44,0.44,,0.03509985754956849,0.37120427920284577,0.5087957207971543,25.557913979844393,13.43733620222327,38284.39073177157,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,none,single,1,10,20,200,200,0.425,0.425,,0.034955328635273904,0.35648755587486314,0.49351244412513684,25.316347499946396,13.495471108328934,36683.976466240194,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,aggregate20,aggregate,20,10,20,200,4000,0.3895,0.3895,,0.00771021643665079,0.37438797578416444,0.4046120242158356,26.428716742615933,13.863465231292396,34190.28158432828,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,r00,per_projection,1,10,20,200,200,0.43,0.43,,0.03500714212842859,0.3613860014282799,0.49861399857172006,31.42336888179415,14.140587804758665,32874.64745731099,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,r01,per_projection,1,10,20,200,200,0.34,0.34,,0.03349626844888845,0.27434731384017863,0.4056526861598214,16.091453329786674,13.502199512399615,37124.240571900395,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,r02,per_projection,1,10,20,200,200,0.345,0.345,,0.033613613313656115,0.279117317905234,0.41088268209476597,19.324213125802235,14.04513438272128,32431.651354472586,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,r03,per_projection,1,10,20,200,200,0.36,0.36,,0.03394112549695428,0.2934753940259696,0.42652460597403036,20.275464534906675,13.932524530986779,31906.241594064977,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,r04,per_projection,1,10,20,200,200,0.37,0.37,,0.034139420030223126,0.3030867367407627,0.4369132632592373,20.137442651548003,13.62835713588263,36330.54349065075,500,0.05
power,center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,residual_random8,r05,per_projection,1,10,20,200,200,0.415,0.415,,0.0348407089480108,0.3467122104618988,0.48328778953810114,44.163877780398046,13.659714488668804,34639.241602477254,500,0.05
