result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,bootstrap_rejection_rate,permutation_rejection_rate,bootstrap_binomial_se,permutation_binomial_se,mean_stat,mean_bootstrap_cutoff,mean_permutation_cutoff,mean_cond_sigma_reg,B_boot,B_perm,alpha
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,semantic_centered,10,20,200,0.065,0.06,0.017432010784760317,0.016792855623746664,3.957215725428515,12.005305770406471,11.143292653026055,37759.984789919115,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_full,10,20,200,0.06,0.05,0.016792855623746664,0.015411035007422441,4.925016731603597,13.263049300499995,13.166486833812433,32887.68688420187,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca,10,20,200,0.05,0.05,0.015411035007422441,0.015411035007422441,5.11684868970646,13.526389102330103,13.508819674265423,30493.179731731558,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,final_full,10,20,200,0.065,0.055,0.017432010784760317,0.016120638945153507,4.7969920647779345,13.029667693141661,12.973884236226581,34316.46747276303,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,centered_logits,10,20,200,0.08,0.05,0.01918332609325088,0.015411035007422441,5.518040039806974,13.115917242906121,15.247887796486921,37002.964904242624,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,semantic_centered,10,20,200,0.07,0.045,0.01804161855266872,0.014658615214269049,5.667725139382025,12.53674424673236,15.113553203996966,41878.10824911204,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,residual_full,10,20,200,0.045,0.03,0.014658615214269049,0.012062338081814818,4.054396714932183,13.986403536017129,15.847666569254013,32610.347151098234,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,residual_top8_pca,10,20,200,0.045,0.035,0.014658615214269049,0.012995191418367026,4.167013506613619,13.850132903468323,16.12058668665679,31041.86087330048,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,final_full,10,20,200,0.045,0.045,0.014658615214269049,0.014658615214269049,4.015755352316966,13.879934940923208,15.917873985851777,33720.80941505781,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,centered_logits,10,20,200,0.06,0.035,0.016792855623746664,0.012995191418367026,4.218180923581753,13.112367542710226,13.909757499691146,35703.108060940554,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,semantic_centered,10,20,200,0.08,0.045,0.01918332609325088,0.014658615214269049,4.627614187005509,12.112461483847742,12.836700575463288,39853.97694070616,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,residual_full,10,20,200,0.075,0.065,0.018624580532189176,0.017432010784760317,4.799797141306195,13.867671738101786,14.729484027352118,30703.023647796264,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,residual_top8_pca,10,20,200,0.08,0.06,0.01918332609325088,0.016792855623746664,4.884767986011481,13.827266903952172,15.177231287392871,29151.930511998908,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,final_full,10,20,200,0.075,0.055,0.018624580532189176,0.016120638945153507,4.760988613170457,13.719259136464698,14.88825774472961,31850.876754991274,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,centered_logits,10,20,200,0.045,0.045,0.014658615214269049,0.014658615214269049,3.8361269794996,12.806099031525733,12.245743423289868,31516.72066332743,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,semantic_centered,10,20,200,0.06,0.045,0.016792855623746664,0.014658615214269049,3.9709683966907234,12.105943251813096,11.600951792802084,36764.168428818295,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,residual_full,10,20,200,0.05,0.06,0.015411035007422441,0.016792855623746664,4.295811525559542,13.888020928216395,13.562176495308117,27710.309298180164,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,residual_top8_pca,10,20,200,0.055,0.05,0.016120638945153507,0.015411035007422441,4.405837515165911,13.917068391247534,13.560570393162475,26221.98423876495,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,50,final_full,10,20,200,0.055,0.05,0.016120638945153507,0.015411035007422441,4.18820035200661,13.492262103293827,13.222938237704236,28846.107697232997,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,centered_logits,10,20,200,0.1,0.045,0.021213203435596427,0.014658615214269049,6.466211096394854,12.801987051549126,17.16900052449702,39528.25852100509,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,semantic_centered,10,20,200,0.105,0.04,0.021676600286945368,0.013856406460551017,7.401783535980318,13.024457234261732,18.852890918021878,37490.498246511015,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_full,10,20,200,0.095,0.07,0.020733427116615334,0.01804161855266872,5.792604084429717,13.398592411124028,17.095169099167066,34463.93333907223,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,10,20,200,0.09,0.06,0.02023610634484806,0.016792855623746664,5.781085774151466,13.85367993643417,16.5613007387345,32927.6971146584,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,final_full,10,20,200,0.095,0.055,0.020733427116615334,0.016120638945153507,5.656070088135323,13.370663784439575,16.092286743711,36191.5903021282,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,centered_logits,10,20,200,0.13,0.055,0.02378024390118823,0.016120638945153507,6.735358246445845,12.505156544038627,15.461422825651791,37414.07171893832,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,semantic_centered,10,20,200,0.095,0.045,0.020733427116615334,0.014658615214269049,6.615026289764591,12.774749744267892,16.72741306001897,35899.77223070262,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_full,10,20,200,0.1,0.06,0.021213203435596427,0.016792855623746664,6.6513275236234275,13.491946076802636,15.430526377023375,32199.386160914983,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca,10,20,200,0.105,0.065,0.021676600286945368,0.017432010784760317,6.73420143479128,13.519847019729008,15.220738236281337,30627.197184738965,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,final_full,10,20,200,0.08,0.045,0.01918332609325088,0.014658615214269049,6.505598309753532,13.212136444218922,14.925078309366238,34153.422795851155,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,centered_logits,10,20,200,0.07,0.065,0.01804161855266872,0.017432010784760317,5.656297055721127,12.458456553528322,13.101112604049176,33680.157788024124,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,semantic_centered,10,20,200,0.07,0.04,0.01804161855266872,0.013856406460551017,4.69876391823922,12.96565540300012,13.828048658675321,31244.80136981769,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_full,10,20,200,0.055,0.035,0.016120638945153507,0.012995191418367026,4.064244032079765,13.471827905573736,13.139236893428597,28750.3745778374,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca,10,20,200,0.055,0.04,0.016120638945153507,0.013856406460551017,4.119507329007891,13.697831540541415,13.226835582912981,27151.961383651847,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,final_full,10,20,200,0.05,0.03,0.015411035007422441,0.012062338081814818,3.9660034859942077,13.323370298265687,12.92821375595142,30822.304927927664,500,500,0.05
